cart_id,customer_id,customer_name,customer_email,customer_phone,customer_segment,customer_tone,device,geo,cart_value,num_items,products,time_since_abandonment_hours,previous_purchases,price_sensitivity,intent_score,abandonment_reason,cart_adds_last_month,all_items_in_stock,abandonment_timestamp
CART5000,CUST1000,Jithu,sujit.2005146@srec.ac.in,+918746317213,new,enthusiastic,mobile,NZ,483.5,5,"[{""product_id"": ""PROD2000"", ""product_name"": ""Sports Item 1"", ""category"": ""Sports"", ""price"": 83.51, ""quantity"": 3}, {""product_id"": ""PROD2001"", ""product_name"": ""Home Item 2"", ""category"": ""Home"", ""price"": 154.0, ""quantity"": 1}, {""product_id"": ""PROD2002"", ""product_name"": ""Beauty Item 3"", ""category"": ""Beauty"", ""price"": 20.0, ""quantity"": 3}, {""product_id"": ""PROD2003"", ""product_name"": ""Books Item 4"", ""category"": ""Books"", ""price"": 6.97, ""quantity"": 2}, {""product_id"": ""PROD2004"", ""product_name"": ""Books Item 5"", ""category"": ""Books"", ""price"": 5.03, ""quantity"": 1}]",33,0,0.3,0.61,site_crash,17,True,2025-11-08T12:14:41.478392
CART5001,CUST1001,Customer 2,cust1001@example.com,+916478163327,new,enthusiastic,mobile,US,1220.42,3,"[{""product_id"": ""PROD2010"", ""product_name"": ""Beauty Item 1"", ""category"": ""Beauty"", ""price"": 46.0, ""quantity"": 1}, {""product_id"": ""PROD2011"", ""product_name"": ""Home Item 2"", ""category"": ""Home"", ""price"": 262.18, ""quantity"": 3}, {""product_id"": ""PROD2012"", ""product_name"": ""Sports Item 3"", ""category"": ""Sports"", ""price"": 193.94, ""quantity"": 2}]",4,0,0.94,0.64,payment_failure,9,True,2025-11-09T17:14:41.478737
CART5002,CUST1002,Customer 3,cust1002@example.com,+916107420369,new,enthusiastic,desktop,NZ,1591.64,5,"[{""product_id"": ""PROD2020"", ""product_name"": ""Home Item 1"", ""category"": ""Home"", ""price"": 275.52, ""quantity"": 2}, {""product_id"": ""PROD2021"", ""product_name"": ""Beauty Item 2"", ""category"": ""Beauty"", ""price"": 31.82, ""quantity"": 2}, {""product_id"": ""PROD2022"", ""product_name"": ""Books Item 3"", ""category"": ""Books"", ""price"": 24.13, ""quantity"": 2}, {""product_id"": ""PROD2023"", ""product_name"": ""Sports Item 4"", ""category"": ""Sports"", ""price"": 388.59, ""quantity"": 2}, {""product_id"": ""PROD2024"", ""product_name"": ""Beauty Item 5"", ""category"": ""Beauty"", ""price"": 75.76, ""quantity"": 2}]",14,0,0.73,0.5,price_too_high,8,True,2025-11-09T07:14:41.479124
CART5003,CUST1003,Customer 4,cust1003@example.com,+919184935163,returning,enthusiastic,desktop,UK,52.49,1,"[{""product_id"": ""PROD2030"", ""product_name"": ""Beauty Item 1"", ""category"": ""Beauty"", ""price"": 52.49, ""quantity"": 1}]",41,12,0.8,0.34,distracted,9,True,2025-11-08T04:14:41.479435
CART5004,CUST1004,Customer 5,cust1004@example.com,+917181241943,new,enthusiastic,desktop,IN,445.68,3,"[{""product_id"": ""PROD2040"", ""product_name"": ""Home Item 1"", ""category"": ""Home"", ""price"": 238.24, ""quantity"": 1}, {""product_id"": ""PROD2041"", ""product_name"": ""Fashion Item 2"", ""category"": ""Fashion"", ""price"": 66.6, ""quantity"": 1}, {""product_id"": ""PROD2042"", ""product_name"": ""Beauty Item 3"", ""category"": ""Beauty"", ""price"": 70.42, ""quantity"": 2}]",33,0,0.06,0.49,long_checkout_process,3,True,2025-11-08T12:14:41.480464
CART5005,CUST1005,Customer 6,cust1005@example.com,+917051802512,new,enthusiastic,mobile,IN,2894.26,3,"[{""product_id"": ""PROD2050"", ""product_name"": ""Electronics Item 1"", ""category"": ""Electronics"", ""price"": 949.56, ""quantity"": 3}, {""product_id"": ""PROD2051"", ""product_name"": ""Books Item 2"", ""category"": ""Books"", ""price"": 22.28, ""quantity"": 1}, {""product_id"": ""PROD2052"", ""product_name"": ""Fashion Item 3"", ""category"": ""Fashion"", ""price"": 23.3, ""quantity"": 1}]",51,0,0.03,0.68,site_crash,4,False,2025-11-07T18:14:41.481269
CART5006,CUST1006,Customer 7,cust1006@example.com,+916958682846,new,casual,mobile,IN,1137.33,4,"[{""product_id"": ""PROD2060"", ""product_name"": ""Sports Item 1"", ""category"": ""Sports"", ""price"": 53.87, ""quantity"": 3}, {""product_id"": ""PROD2061"", ""product_name"": ""Home Item 2"", ""category"": ""Home"", ""price"": 73.53, ""quantity"": 2}, {""product_id"": ""PROD2062"", ""product_name"": ""Fashion Item 3"", ""category"": ""Fashion"", ""price"": 125.06, ""quantity"": 1}, {""product_id"": ""PROD2063"", ""product_name"": ""Sports Item 4"", ""category"": ""Sports"", ""price"": 351.8, ""quantity"": 2}]",62,0,0.54,0.78,site_crash,7,False,2025-11-07T07:14:41.481574
CART5007,CUST1007,Customer 8,cust1007@example.com,+916599310825,new,enthusiastic,mobile,NZ,2667.65,5,"[{""product_id"": ""PROD2070"", ""product_name"": ""Electronics Item 1"", ""category"": ""Electronics"", ""price"": 574.3, ""quantity"": 2}, {""product_id"": ""PROD2071"", ""product_name"": ""Home Item 2"", ""category"": ""Home"", ""price"": 142.7, ""quantity"": 1}, {""product_id"": ""PROD2072"", ""product_name"": ""Electronics Item 3"", ""category"": ""Electronics"", ""price"": 407.88, ""quantity"": 3}, {""product_id"": ""PROD2073"", ""product_name"": ""Home Item 4"", ""category"": ""Home"", ""price"": 117.26, ""quantity"": 1}, {""product_id"": ""PROD2074"", ""product_name"": ""Beauty Item 5"", ""category"": ""Beauty"", ""price"": 35.45, ""quantity"": 1}]",58,0,0.96,0.45,payment_failure,3,True,2025-11-07T11:14:41.481853
CART5008,CUST1008,Customer 9,cust1008@example.com,+919163119785,new,casual,mobile,UK,1755.44,2,"[{""product_id"": ""PROD2080"", ""product_name"": ""Beauty Item 1"", ""category"": ""Beauty"", ""price"": 13.6, ""quantity"": 1}, {""product_id"": ""PROD2081"", ""product_name"": ""Electronics Item 2"", ""category"": ""Electronics"", ""price"": 870.92, ""quantity"": 2}]",2,0,0.53,0.57,price_too_high,4,True,2025-11-09T19:14:41.482076
CART5009,CUST1009,Customer 10,cust1009@example.com,+916440213415,new,casual,desktop,NZ,2659.64,5,"[{""product_id"": ""PROD2090"", ""product_name"": ""Beauty Item 1"", ""category"": ""Beauty"", ""price"": 78.84, ""quantity"": 2}, {""product_id"": ""PROD2091"", ""product_name"": ""Home Item 2"", ""category"": ""Home"", ""price"": 250.44, ""quantity"": 1}, {""product_id"": ""PROD2092"", ""product_name"": ""Electronics Item 3"", ""category"": ""Electronics"", ""price"": 588.7, ""quantity"": 2}, {""product_id"": ""PROD2093"", ""product_name"": ""Sports Item 4"", ""category"": ""Sports"", ""price"": 346.88, ""quantity"": 3}, {""product_id"": ""PROD2094"", ""product_name"": ""Beauty Item 5"", ""category"": ""Beauty"", ""price"": 11.16, ""quantity"": 3}]",19,0,0.35,0.36,high_shipping_cost,1,True,2025-11-09T02:14:41.482641
CART5010,CUST1010,Customer 11,cust1010@example.com,+918906402157,returning,casual,desktop,IN,280.42,1,"[{""product_id"": ""PROD2100"", ""product_name"": ""Fashion Item 1"", ""category"": ""Fashion"", ""price"": 140.21, ""quantity"": 2}]",42,2,0.23,0.4,high_shipping_cost,17,True,2025-11-08T03:14:41.482935
CART5011,CUST1011,Customer 12,cust1011@example.com,+919181143731,new,casual,desktop,US,1842.87,1,"[{""product_id"": ""PROD2110"", ""product_name"": ""Electronics Item 1"", ""category"": ""Electronics"", ""price"": 614.29, ""quantity"": 3}]",20,0,0.89,0.77,site_crash,11,False,2025-11-09T01:14:41.483205
CART5012,CUST1012,Customer 13,cust1012@example.com,+919831882064,returning,professional,mobile,UK,585.78,1,"[{""product_id"": ""PROD2120"", ""product_name"": ""Home Item 1"", ""category"": ""Home"", ""price"": 292.89, ""quantity"": 2}]",66,5,0.45,0.9,site_crash,1,True,2025-11-07T03:14:41.483485
CART5013,CUST1013,Customer 14,cust1013@example.com,+918342331444,returning,enthusiastic,desktop,NZ,91.24,1,"[{""product_id"": ""PROD2130"", ""product_name"": ""Beauty Item 1"", ""category"": ""Beauty"", ""price"": 45.62, ""quantity"": 2}]",22,13,0.59,0.89,comparison_shopping,8,True,2025-11-08T23:14:41.483788
CART5014,CUST1014,Customer 15,cust1014@example.com,+916373399426,returning,professional,desktop,US,333.96,1,"[{""product_id"": ""PROD2140"", ""product_name"": ""Sports Item 1"", ""category"": ""Sports"", ""price"": 111.32, ""quantity"": 3}]",4,2,0.77,0.33,site_crash,14,False,2025-11-09T17:14:41.484128
CART5015,CUST1015,Customer 16,cust1015@example.com,+918536146025,new,casual,tablet,IN,116.49,1,"[{""product_id"": ""PROD2150"", ""product_name"": ""Books Item 1"", ""category"": ""Books"", ""price"": 38.83, ""quantity"": 3}]",60,0,0.85,0.48,long_checkout_process,1,True,2025-11-07T09:14:41.484457
CART5016,CUST1016,Customer 17,cust1016@example.com,+917812140441,new,casual,mobile,UK,420.49,2,"[{""product_id"": ""PROD2160"", ""product_name"": ""Home Item 1"", ""category"": ""Home"", ""price"": 183.92, ""quantity"": 2}, {""product_id"": ""PROD2161"", ""product_name"": ""Books Item 2"", ""category"": ""Books"", ""price"": 17.55, ""quantity"": 3}]",27,0,0.3,0.49,high_shipping_cost,9,True,2025-11-08T18:14:41.484862
CART5017,CUST1017,Customer 18,cust1017@example.com,+916136505587,new,casual,mobile,UK,244.39,3,"[{""product_id"": ""PROD2170"", ""product_name"": ""Fashion Item 1"", ""category"": ""Fashion"", ""price"": 132.72, ""quantity"": 1}, {""product_id"": ""PROD2171"", ""product_name"": ""Beauty Item 2"", ""category"": ""Beauty"", ""price"": 45.79, ""quantity"": 1}, {""product_id"": ""PROD2172"", ""product_name"": ""Beauty Item 3"", ""category"": ""Beauty"", ""price"": 65.88, ""quantity"": 1}]",8,0,0.7,0.78,site_crash,19,True,2025-11-09T13:14:41.485335
CART5018,CUST1018,Customer 19,cust1018@example.com,+916127978094,new,professional,mobile,US,1585.8,3,"[{""product_id"": ""PROD2180"", ""product_name"": ""Electronics Item 1"", ""category"": ""Electronics"", ""price"": 439.54, ""quantity"": 2}, {""product_id"": ""PROD2181"", ""product_name"": ""Sports Item 2"", ""category"": ""Sports"", ""price"": 339.6, ""quantity"": 2}, {""product_id"": ""PROD2182"", ""product_name"": ""Books Item 3"", ""category"": ""Books"", ""price"": 13.76, ""quantity"": 2}]",70,0,0.3,0.62,long_checkout_process,1,True,2025-11-06T23:14:41.485704
CART5019,CUST1019,Customer 20,cust1019@example.com,+916402418010,new,casual,mobile,UK,2435.99,5,"[{""product_id"": ""PROD2190"", ""product_name"": ""Beauty Item 1"", ""category"": ""Beauty"", ""price"": 38.79, ""quantity"": 3}, {""product_id"": ""PROD2191"", ""product_name"": ""Beauty Item 2"", ""category"": ""Beauty"", ""price"": 19.29, ""quantity"": 2}, {""product_id"": ""PROD2192"", ""product_name"": ""Beauty Item 3"", ""category"": ""Beauty"", ""price"": 60.02, ""quantity"": 3}, {""product_id"": ""PROD2193"", ""product_name"": ""Electronics Item 4"", ""category"": ""Electronics"", ""price"": 658.94, ""quantity"": 3}, {""product_id"": ""PROD2194"", ""product_name"": ""Beauty Item 5"", ""category"": ""Beauty"", ""price"": 62.08, ""quantity"": 2}]",62,0,0.84,0.72,long_checkout_process,1,True,2025-11-07T07:14:41.485976
CART5020,CUST1020,Customer 21,cust1020@example.com,+916939042955,new,professional,mobile,UK,129.98,1,"[{""product_id"": ""PROD2200"", ""product_name"": ""Sports Item 1"", ""category"": ""Sports"", ""price"": 129.98, ""quantity"": 1}]",64,0,0.55,0.67,distracted,3,True,2025-11-07T05:14:41.486155
CART5021,CUST1021,Customer 22,cust1021@example.com,+916999270936,new,casual,mobile,IN,384.85,4,"[{""product_id"": ""PROD2210"", ""product_name"": ""Sports Item 1"", ""category"": ""Sports"", ""price"": 60.31, ""quantity"": 2}, {""product_id"": ""PROD2211"", ""product_name"": ""Books Item 2"", ""category"": ""Books"", ""price"": 39.28, ""quantity"": 1}, {""product_id"": ""PROD2212"", ""product_name"": ""Beauty Item 3"", ""category"": ""Beauty"", ""price"": 11.2, ""quantity"": 2}, {""product_id"": ""PROD2213"", ""product_name"": ""Sports Item 4"", ""category"": ""Sports"", ""price"": 202.55, ""quantity"": 1}]",23,0,0.05,0.87,site_crash,2,True,2025-11-08T22:14:41.486395
CART5022,CUST1022,Customer 23,cust1022@example.com,+918170484433,new,enthusiastic,mobile,IN,862.51,5,"[{""product_id"": ""PROD2220"", ""product_name"": ""Sports Item 1"", ""category"": ""Sports"", ""price"": 86.1, ""quantity"": 3}, {""product_id"": ""PROD2221"", ""product_name"": ""Fashion Item 2"", ""category"": ""Fashion"", ""price"": 23.45, ""quantity"": 3}, {""product_id"": ""PROD2222"", ""product_name"": ""Beauty Item 3"", ""category"": ""Beauty"", ""price"": 50.28, ""quantity"": 2}, {""product_id"": ""PROD2223"", ""product_name"": ""Home Item 4"", ""category"": ""Home"", ""price"": 203.69, ""quantity"": 1}, {""product_id"": ""PROD2224"", ""product_name"": ""Sports Item 5"", ""category"": ""Sports"", ""price"": 229.61, ""quantity"": 1}]",12,0,0.39,0.88,payment_failure,11,True,2025-11-09T09:14:41.486649
CART5023,CUST1023,Customer 24,cust1023@example.com,+918585650756,new,enthusiastic,mobile,IN,277.79,3,"[{""product_id"": ""PROD2230"", ""product_name"": ""Fashion Item 1"", ""category"": ""Fashion"", ""price"": 108.79, ""quantity"": 1}, {""product_id"": ""PROD2231"", ""product_name"": ""Fashion Item 2"", ""category"": ""Fashion"", ""price"": 61.47, ""quantity"": 2}, {""product_id"": ""PROD2232"", ""product_name"": ""Fashion Item 3"", ""category"": ""Fashion"", ""price"": 23.03, ""quantity"": 2}]",7,0,0.12,0.72,long_checkout_process,11,True,2025-11-09T14:14:41.486853
CART5024,CUST1024,Customer 25,cust1024@example.com,+916113971123,returning,casual,tablet,NZ,2836.4,2,"[{""product_id"": ""PROD2240"", ""product_name"": ""Sports Item 1"", ""category"": ""Sports"", ""price"": 306.48, ""quantity"": 3}, {""product_id"": ""PROD2241"", ""product_name"": ""Electronics Item 2"", ""category"": ""Electronics"", ""price"": 958.48, ""quantity"": 2}]",24,6,0.93,0.82,high_shipping_cost,13,True,2025-11-08T21:14:41.487044
CART5025,CUST1025,Customer 26,cust1025@example.com,+918410529190,new,professional,desktop,UK,3191.13,4,"[{""product_id"": ""PROD2250"", ""product_name"": ""Electronics Item 1"", ""category"": ""Electronics"", ""price"": 588.04, ""quantity"": 3}, {""product_id"": ""PROD2251"", ""product_name"": ""Home Item 2"", ""category"": ""Home"", ""price"": 135.08, ""quantity"": 1}, {""product_id"": ""PROD2252"", ""product_name"": ""Electronics Item 3"", ""category"": ""Electronics"", ""price"": 1062.43, ""quantity"": 1}, {""product_id"": ""PROD2253"", ""product_name"": ""Beauty Item 4"", ""category"": ""Beauty"", ""price"": 76.5, ""quantity"": 3}]",16,0,0.45,0.48,high_shipping_cost,4,False,2025-11-09T05:14:41.487279
CART5026,CUST1026,Customer 27,cust1026@example.com,+916854001193,returning,enthusiastic,mobile,UK,833.27,2,"[{""product_id"": ""PROD2260"", ""product_name"": ""Books Item 1"", ""category"": ""Books"", ""price"": 24.23, ""quantity"": 1}, {""product_id"": ""PROD2261"", ""product_name"": ""Home Item 2"", ""category"": ""Home"", ""price"": 269.68, ""quantity"": 3}]",18,14,0.14,0.76,site_crash,17,True,2025-11-09T03:14:41.487476
CART5027,CUST1027,Customer 28,cust1027@example.com,+919075280817,new,casual,mobile,IN,391.12,2,"[{""product_id"": ""PROD2270"", ""product_name"": ""Home Item 1"", ""category"": ""Home"", ""price"": 220.69, ""quantity"": 1}, {""product_id"": ""PROD2271"", ""product_name"": ""Sports Item 2"", ""category"": ""Sports"", ""price"": 56.81, ""quantity"": 3}]",8,0,0.37,0.52,site_crash,17,False,2025-11-09T13:14:41.487666
CART5028,CUST1028,Customer 29,cust1028@example.com,+918791232393,vip,professional,desktop,US,763.18,5,"[{""product_id"": ""PROD2280"", ""product_name"": ""Beauty Item 1"", ""category"": ""Beauty"", ""price"": 49.09, ""quantity"": 3}, {""product_id"": ""PROD2281"", ""product_name"": ""Fashion Item 2"", ""category"": ""Fashion"", ""price"": 137.83, ""quantity"": 3}, {""product_id"": ""PROD2282"", ""product_name"": ""Books Item 3"", ""category"": ""Books"", ""price"": 22.24, ""quantity"": 1}, {""product_id"": ""PROD2283"", ""product_name"": ""Fashion Item 4"", ""category"": ""Fashion"", ""price"": 80.93, ""quantity"": 2}, {""product_id"": ""PROD2284"", ""product_name"": ""Beauty Item 5"", ""category"": ""Beauty"", ""price"": 18.32, ""quantity"": 1}]",39,0,0.68,0.44,high_shipping_cost,17,True,2025-11-08T06:14:41.487921
CART5029,CUST1029,Customer 30,cust1029@example.com,+919012167820,returning,casual,tablet,NZ,184.23,5,"[{""product_id"": ""PROD2290"", ""product_name"": ""Sports Item 1"", ""category"": ""Sports"", ""price"": 41.18, ""quantity"": 1}, {""product_id"": ""PROD2291"", ""product_name"": ""Books Item 2"", ""category"": ""Books"", ""price"": 37.36, ""quantity"": 1}, {""product_id"": ""PROD2292"", ""product_name"": ""Beauty Item 3"", ""category"": ""Beauty"", ""price"": 48.77, ""quantity"": 1}, {""product_id"": ""PROD2293"", ""product_name"": ""Fashion Item 4"", ""category"": ""Fashion"", ""price"": 41.61, ""quantity"": 1}, {""product_id"": ""PROD2294"", ""product_name"": ""Books Item 5"", ""category"": ""Books"", ""price"": 15.31, ""quantity"": 1}]",54,5,0.38,0.74,comparison_shopping,12,False,2025-11-07T15:14:41.488191
